,RR,accuracy,reassignment,t3
nb_le_f0_d0_b0_c29_v0,0.46003002288716577,0.28095238095238095,0.8,0.3952380952380952
nb_ohe_f0_d0_b0_c29_v0,0.6338000755857899,0.44761904761904764,0.6333333333333333,0.5928571428571429
lrr_le_f0_d0_b0_c29_v0,0.5077631627631628,0.3523809523809524,0.6666666666666667,0.4357142857142857
lrr_ohe_f0_d0_b0_c29_v0,0.6077702720559863,0.4142857142857143,0.7666666666666666,0.557936507936508
svm_le_f0_d0_b0_c29_v0,0.4891988963417535,0.2857142857142857,0.8666666666666667,0.4174603174603175
svm_ohe_f0_d0_b0_c29_v0,0.618688467617039,0.3952380952380952,0.7333333333333334,0.5753968253968254
nb_le_f1_d0_b0_c29_v0,0.4535153999439714,0.2619047619047619,0.8666666666666667,0.38015873015873014
nb_ohe_f1_d0_b0_c29_v0,0.6125660186374472,0.4142857142857143,0.7,0.5738095238095238
lrr_le_f1_d0_b0_c29_v0,0.4662506937506937,0.28095238095238095,0.7666666666666666,0.39285714285714285
lrr_ohe_f1_d0_b0_c29_v0,0.5727043062757349,0.37142857142857144,0.8333333333333334,0.5190476190476191
svm_le_f1_d0_b0_c29_v0,0.46118215118215117,0.2714285714285714,0.7666666666666666,0.39444444444444443
svm_ohe_f1_d0_b0_c29_v0,0.5997603586889301,0.4,0.7666666666666666,0.5587301587301587
tree_le_f1_d0_b0_c29_v0,0.3944076161933305,0.19523809523809524,0.9,0.3142857142857143
tree_ohe_f1_d0_b0_c29_v0,0.3992764774907632,0.19047619047619047,0.8,0.30714285714285716
