,RR,accuracy,reassignment,t3
nb_le_f0_d0_b1_c1_v0,0.35488882810311384,0.2,0.8333333333333334,0.2706349206349206
nb_ohe_f0_d0_b1_c1_v0,0.3546847464704608,0.2,0.8666666666666667,0.2706349206349206
lrr_le_f0_d0_b1_c1_v0,0.3654314204314204,0.2,0.8666666666666667,0.2857142857142857
lrr_ohe_f0_d0_b1_c1_v0,0.36521978021978024,0.2,0.7333333333333334,0.2857142857142857
svm_le_f0_d0_b1_c1_v0,0.35073538894967465,0.19523809523809524,0.8666666666666667,0.26825396825396824
svm_ohe_f0_d0_b1_c1_v0,0.32183464683464685,0.19047619047619047,0.8666666666666667,0.23492063492063492
nb_le_f1_d0_b1_c1_v0,0.3490897726612012,0.19523809523809524,0.8333333333333334,0.26666666666666666
nb_ohe_f1_d0_b1_c1_v0,0.3369249929964216,0.18095238095238095,0.9666666666666667,0.2523809523809524
lrr_le_f1_d0_b1_c1_v0,0.3569682301825159,0.18571428571428572,0.7666666666666666,0.2777777777777778
lrr_ohe_f1_d0_b1_c1_v0,0.35969367933653645,0.19523809523809524,0.6666666666666667,0.2746031746031746
svm_le_f1_d0_b1_c1_v0,0.33507427757427755,0.1761904761904762,0.8,0.25
svm_ohe_f1_d0_b1_c1_v0,0.33207541136112567,0.17142857142857143,0.9333333333333333,0.24365079365079365
tree_le_f1_d0_b1_c1_v0,0.32441074798217656,0.12380952380952381,0.9,0.24365079365079365
tree_ohe_f1_d0_b1_c1_v0,0.30446537589394734,0.10952380952380952,0.9,0.21904761904761905
