,RR,accuracy,reassignment,t3
nb_le_f0_d0_b0_c3_v0,0.46618186046757476,0.2904761904761905,0.7961165048543689,0.3904761904761905
nb_ohe_f0_d0_b0_c3_v0,0.6445310773882202,0.48095238095238096,0.7333333333333334,0.6007936507936508
lrr_le_f0_d0_b0_c3_v0,0.4804738911881769,0.3,0.7524271844660194,0.41349206349206347
lrr_ohe_f0_d0_b0_c3_v0,0.6212773337773337,0.4380952380952381,0.7,0.5817460317460318
svm_le_f0_d0_b0_c3_v0,0.4726970384113241,0.2714285714285714,0.7961165048543689,0.403968253968254
svm_ohe_f0_d0_b0_c3_v0,0.6235867175152889,0.3380952380952381,0.7666666666666666,0.580952380952381
