,RR,accuracy,reassignment,t3
nb_le_f0_d0_b1_c3_v0,0.4701501144358287,0.29523809523809524,0.7961165048543689,0.3952380952380952
nb_ohe_f0_d0_b1_c3_v0,0.6443723472294901,0.48095238095238096,0.8333333333333334,0.6007936507936508
lrr_le_f0_d0_b1_c3_v0,0.4766643673786531,0.29523809523809524,0.7524271844660194,0.4087301587301587
lrr_ohe_f0_d0_b1_c3_v0,0.6212773337773337,0.4380952380952381,0.6,0.5817460317460318
svm_le_f0_d0_b1_c3_v0,0.4724268720697292,0.2714285714285714,0.7961165048543689,0.4015873015873016
svm_ohe_f0_d0_b1_c3_v0,0.6371846011131725,0.3380952380952381,0.6666666666666667,0.5952380952380952
