,RR,accuracy,reassignment,t3
nb_le_f0_d0_b1_c29_v0,0.46241097526811814,0.2857142857142857,0.9,0.3976190476190476
nb_ohe_f0_d0_b1_c29_v0,0.636974678760393,0.4523809523809524,0.7333333333333334,0.596031746031746
lrr_le_f0_d0_b1_c29_v0,0.5113345913345914,0.35714285714285715,0.8,0.44047619047619047
lrr_ohe_f0_d0_b1_c29_v0,0.6117385260242403,0.41904761904761906,0.7,0.5626984126984127
svm_le_f0_d0_b1_c29_v0,0.47906662120947835,0.2857142857142857,0.9,0.4087301587301587
svm_ohe_f0_d0_b1_c29_v0,0.6146942211227926,0.3952380952380952,0.8333333333333334,0.5722222222222222
