,RR,accuracy,reassignment,t3
nb_le_f0_d0_b1_c0_v0,0.4683119525976669,0.2857142857142857,0.8333333333333334,0.39920634920634923
nb_ohe_f0_d0_b1_c0_v0,0.6259974417117274,0.4238095238095238,0.8,0.5873015873015873
lrr_le_f0_d0_b1_c0_v0,0.4977651713365999,0.3238095238095238,0.8666666666666667,0.43174603174603177
lrr_ohe_f0_d0_b1_c0_v0,0.6443178911036054,0.4714285714285714,0.6666666666666667,0.5976190476190476
svm_le_f0_d0_b1_c0_v0,0.47371698407412693,0.2714285714285714,0.8333333333333334,0.4015873015873016
svm_ohe_f0_d0_b1_c0_v0,0.625396534682249,0.37142857142857144,0.6333333333333333,0.5825396825396826
nb_le_f1_d0_b1_c0_v0,0.4503935350363922,0.2571428571428571,0.7666666666666666,0.37777777777777777
nb_ohe_f1_d0_b1_c0_v0,0.6159543234543234,0.4238095238095238,0.6666666666666667,0.573015873015873
lrr_le_f1_d0_b1_c0_v0,0.44326340326340324,0.24761904761904763,0.8,0.36666666666666664
lrr_ohe_f1_d0_b1_c0_v0,0.5785579103436246,0.3952380952380952,0.7666666666666666,0.5285714285714286
svm_le_f1_d0_b1_c0_v0,0.46571827643256214,0.29523809523809524,0.8,0.39444444444444443
svm_ohe_f1_d0_b1_c0_v0,0.618644252572824,0.4238095238095238,0.8333333333333334,0.5753968253968254
tree_le_f1_d0_b1_c0_v0,0.3666013616013616,0.14285714285714285,0.8333333333333334,0.26746031746031745
tree_ohe_f1_d0_b1_c0_v0,0.3868477686334829,0.17142857142857143,0.9333333333333333,0.28968253968253965
