,RR,accuracy,reassignment,t3
nb_le_f0_d0_b0_c2_v0,0.4621572607286893,0.2857142857142857,0.8333333333333334,0.3865079365079365
nb_ohe_f0_d0_b0_c2_v0,0.6300491307634165,0.43333333333333335,0.7666666666666666,0.5904761904761905
lrr_le_f0_d0_b0_c2_v0,0.5027456406027835,0.3380952380952381,0.9,0.4365079365079365
lrr_ohe_f0_d0_b0_c2_v0,0.638892377463806,0.4666666666666667,0.7666666666666666,0.5944444444444444
svm_le_f0_d0_b0_c2_v0,0.4677440416726131,0.28095238095238095,0.7,0.39365079365079364
svm_ohe_f0_d0_b0_c2_v0,0.6211753590325019,0.37142857142857144,0.7333333333333334,0.5785714285714285
nb_le_f1_d0_b0_c2_v0,0.45040018182875324,0.2523809523809524,0.7333333333333334,0.3746031746031746
nb_ohe_f1_d0_b0_c2_v0,0.6194521748093177,0.4238095238095238,0.7333333333333334,0.5761904761904761
lrr_le_f1_d0_b0_c2_v0,0.464931906717621,0.29523809523809524,0.8,0.3888888888888889
lrr_ohe_f1_d0_b0_c2_v0,0.5405006369292084,0.35714285714285715,0.5666666666666667,0.4753968253968254
svm_le_f1_d0_b0_c2_v0,0.4426584262298548,0.23809523809523808,0.7333333333333334,0.37222222222222223
svm_ohe_f1_d0_b0_c2_v0,0.5955176437319294,0.3952380952380952,0.8,0.5507936507936508
tree_le_f1_d0_b0_c2_v0,0.38499419892277037,0.18095238095238095,0.7333333333333334,0.29444444444444445
tree_ohe_f1_d0_b0_c2_v0,0.400627639556211,0.19047619047619047,0.9,0.3142857142857143
