,RR,accuracy,reassignment,t3,top10,top11,top12,top13,top14,top15,top2,top3,top4,top5,top6,top7,top8,top9
nb_le_f0_d0_b4_c36_v0,0.46556027306027303,0.2761904761904762,0.8333333333333334,0.39285714285714285,0.8809523809523809,0.919047619047619,0.9333333333333333,0.9714285714285714,0.9952380952380953,1.0,0.43333333333333335,0.5476190476190477,0.6666666666666666,0.7380952380952381,0.7666666666666667,0.8047619047619048,0.8476190476190476,0.861904761904762
nb_ohe_f0_d0_b4_c36_v0,0.6428328021185165,0.4666666666666667,0.8,0.6,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.9904761904761905,0.9952380952380953,1.0,0.6761904761904762,0.7619047619047619,0.8428571428571429,0.8761904761904762,0.9095238095238095,0.9380952380952381,0.9571428571428572,0.9714285714285714
lrr_le_f0_d0_b4_c36_v0,0.4968891029605315,0.319047619047619,0.7666666666666666,0.43174603174603177,0.8857142857142857,0.919047619047619,0.9476190476190476,0.9761904761904762,0.9904761904761905,1.0,0.4714285714285714,0.580952380952381,0.6761904761904762,0.7333333333333333,0.7761904761904762,0.8142857142857143,0.8380952380952381,0.8666666666666667
lrr_ohe_f0_d0_b4_c36_v0,0.6211470672184958,0.44761904761904764,0.6666666666666667,0.5761904761904761,0.9666666666666667,0.9761904761904762,0.9857142857142858,0.9904761904761905,0.9952380952380953,1.0,0.638095238095238,0.7380952380952381,0.8047619047619048,0.861904761904762,0.8857142857142857,0.9285714285714286,0.9333333333333333,0.9476190476190476
svm_le_f0_d0_b4_c36_v0,0.4688908710337282,0.28095238095238095,0.8666666666666667,0.39365079365079364,0.8857142857142857,0.9285714285714286,0.9476190476190476,0.9714285714285714,0.9904761904761905,1.0,0.42857142857142855,0.5238095238095238,0.6095238095238096,0.7095238095238096,0.7714285714285715,0.819047619047619,0.8476190476190476,0.8476190476190476
svm_ohe_f0_d0_b4_c36_v0,0.635411532911533,0.42857142857142855,0.7,0.5912698412698413,0.9761904761904762,0.9809523809523809,0.9857142857142858,0.9952380952380953,0.9952380952380953,1.0,0.638095238095238,0.7619047619047619,0.8571428571428571,0.8904761904761904,0.9095238095238095,0.9428571428571428,0.9571428571428572,0.9714285714285714
nb_m2_f0_d0_b4_c36_v0,0.5822956805099663,0.38571428571428573,0.7666666666666666,0.5365079365079365,0.9666666666666667,0.9761904761904762,0.9809523809523809,0.9904761904761905,0.9952380952380953,1.0,0.5952380952380952,0.7333333333333333,0.8,0.8476190476190476,0.8952380952380953,0.9285714285714286,0.9333333333333333,0.9619047619047619
lrr_m2_f0_d0_b4_c36_v0,0.5924641496070068,0.41904761904761906,0.7666666666666666,0.5380952380952381,0.9571428571428572,0.9666666666666667,0.9809523809523809,0.9857142857142858,0.9904761904761905,1.0,0.6095238095238096,0.680952380952381,0.7666666666666667,0.8333333333333334,0.8571428571428571,0.8952380952380953,0.9047619047619048,0.9380952380952381
svm_m2_f0_d0_b4_c36_v0,0.5528961778961778,0.35714285714285715,0.8,0.5015873015873016,0.9523809523809523,0.9666666666666667,0.9761904761904762,0.9952380952380953,0.9952380952380953,1.0,0.5476190476190477,0.680952380952381,0.7428571428571429,0.8,0.8476190476190476,0.8809523809523809,0.9,0.919047619047619
nb_m3_f0_d0_b4_c36_v0,0.5462150944293801,0.3380952380952381,0.8666666666666667,0.4984126984126984,0.9380952380952381,0.9476190476190476,0.9761904761904762,0.9809523809523809,0.9857142857142858,1.0,0.5857142857142857,0.6952380952380952,0.7714285714285715,0.7904761904761904,0.8380952380952381,0.8714285714285714,0.8857142857142857,0.9142857142857143
lrr_m3_f0_d0_b4_c36_v0,0.5726433751433752,0.38095238095238093,0.8,0.526984126984127,0.9619047619047619,0.9714285714285714,0.9761904761904762,0.9857142857142858,0.9857142857142858,1.0,0.580952380952381,0.719047619047619,0.7714285714285715,0.8333333333333334,0.861904761904762,0.8952380952380953,0.9285714285714286,0.9476190476190476
svm_m3_f0_d0_b4_c36_v0,0.447302935160078,0.2523809523809524,0.8666666666666667,0.37222222222222223,0.8809523809523809,0.9142857142857143,0.9380952380952381,0.9666666666666667,0.9857142857142858,1.0,0.3952380952380952,0.5190476190476191,0.6285714285714286,0.6904761904761905,0.7523809523809524,0.7857142857142857,0.8142857142857143,0.8571428571428571
nb_m4_f0_d0_b4_c36_v0,0.4651668305239734,0.2523809523809524,0.7666666666666666,0.4007936507936508,0.9095238095238095,0.9285714285714286,0.9428571428571428,0.9761904761904762,0.9952380952380953,1.0,0.45714285714285713,0.5952380952380952,0.6904761904761905,0.7666666666666667,0.7904761904761904,0.8238095238095238,0.8476190476190476,0.8714285714285714
lrr_m4_f0_d0_b4_c36_v0,0.5076050008192865,0.32857142857142857,0.7,0.44126984126984126,0.9142857142857143,0.9238095238095239,0.9619047619047619,0.9809523809523809,0.9952380952380953,1.0,0.48095238095238096,0.5904761904761905,0.6857142857142857,0.7619047619047619,0.8095238095238095,0.8380952380952381,0.861904761904762,0.8809523809523809
