,RR,accuracy,reassignment,t3
nb_le_f0_d0_b1_c4_v0,0.36111765218908076,0.2,0.8300970873786407,0.2785714285714286
nb_ohe_f0_d0_b1_c4_v0,0.4345514406228692,0.2571428571428571,0.8333333333333334,0.3595238095238095
lrr_le_f0_d0_b1_c4_v0,0.36441966763395334,0.19523809523809524,0.8252427184466019,0.2833333333333333
lrr_ohe_f0_d0_b1_c4_v0,0.4238442642014071,0.24285714285714285,0.8,0.3468253968253968
svm_le_f0_d0_b1_c4_v0,0.3652496841782556,0.19047619047619047,0.8155339805825242,0.28095238095238095
svm_ohe_f0_d0_b1_c4_v0,0.4005778877207449,0.20952380952380953,0.8333333333333334,0.32142857142857145
