,RR,accuracy,reassignment,t3
nb_le_f0_d0_b1_c2_v0,0.4621572607286893,0.2857142857142857,0.8333333333333334,0.3865079365079365
nb_ohe_f0_d0_b1_c2_v0,0.6300491307634165,0.43333333333333335,0.7,0.5904761904761905
lrr_le_f0_d0_b1_c2_v0,0.5027456406027835,0.3380952380952381,0.6666666666666667,0.4365079365079365
lrr_ohe_f0_d0_b1_c2_v0,0.6385316271030557,0.4666666666666667,0.7333333333333334,0.5944444444444444
svm_le_f0_d0_b1_c2_v0,0.4697881747881748,0.2857142857142857,0.7666666666666666,0.3952380952380952
svm_ohe_f0_d0_b1_c2_v0,0.6283635676492819,0.37142857142857144,0.6333333333333333,0.5880952380952381
nb_le_f1_d0_b1_c2_v0,0.45635788814360245,0.26666666666666666,0.8,0.3873015873015873
nb_ohe_f1_d0_b1_c2_v0,0.6102112305683735,0.4238095238095238,0.7333333333333334,0.5626984126984127
lrr_le_f1_d0_b1_c2_v0,0.4734111391254248,0.3047619047619048,0.8333333333333334,0.39285714285714285
lrr_ohe_f1_d0_b1_c2_v0,0.5717874850017707,0.38571428571428573,0.8333333333333334,0.523015873015873
svm_le_f1_d0_b1_c2_v0,0.45322880822880823,0.2761904761904762,0.8333333333333334,0.3817460317460317
svm_ohe_f1_d0_b1_c2_v0,0.6094968259253973,0.42857142857142855,0.8,0.5674603174603174
tree_le_f1_d0_b1_c2_v0,0.35557054057054055,0.14761904761904762,0.9,0.26666666666666666
tree_ohe_f1_d0_b1_c2_v0,0.37296942475513906,0.1619047619047619,0.8666666666666667,0.28015873015873016
