,RR,accuracy,reassignment,t3
nb_le_f0_d0_b0_c4_v0,0.36103261817547533,0.2,0.8300970873786407,0.2785714285714286
nb_ohe_f0_d0_b0_c4_v0,0.43276572633715493,0.2571428571428571,0.8333333333333334,0.35714285714285715
lrr_le_f0_d0_b0_c4_v0,0.36441966763395334,0.19523809523809524,0.8252427184466019,0.2833333333333333
lrr_ohe_f0_d0_b0_c4_v0,0.42562997848712136,0.24285714285714285,0.8,0.3492063492063492
svm_le_f0_d0_b0_c4_v0,0.3674752231895089,0.19523809523809524,0.8155339805825242,0.2833333333333333
svm_ohe_f0_d0_b0_c4_v0,0.404863258434687,0.20952380952380953,0.8666666666666667,0.3261904761904762
