,RR,accuracy,reassignment,t3
nb_le_f0_d0_b0_c5_v0,0.39919264597836024,0.19047619047619047,0.9333333333333333,0.3142857142857143
nb_ohe_f0_d0_b0_c5_v0,0.5992292495863925,0.38095238095238093,0.7333333333333334,0.5619047619047619
lrr_le_f0_d0_b0_c5_v0,0.42564028564028566,0.22857142857142856,0.8333333333333334,0.3380952380952381
lrr_ohe_f0_d0_b0_c5_v0,0.6077525120382263,0.4,0.6666666666666667,0.5642857142857143
svm_le_f0_d0_b0_c5_v0,0.4283038918753204,0.21428571428571427,0.8,0.35
svm_ohe_f0_d0_b0_c5_v0,0.5865441833298977,0.29523809523809524,0.8,0.5452380952380952
nb_le_f1_d0_b0_c5_v0,0.3943194768194768,0.2,0.8333333333333334,0.3126984126984127
nb_ohe_f1_d0_b0_c5_v0,0.6140383954669669,0.43333333333333335,0.8,0.5698412698412698
lrr_le_f1_d0_b0_c5_v0,0.4295317513174656,0.21428571428571427,0.8333333333333334,0.3611111111111111
lrr_ohe_f1_d0_b0_c5_v0,0.5521350078492936,0.34285714285714286,0.8666666666666667,0.4928571428571429
svm_le_f1_d0_b0_c5_v0,0.43376266590552304,0.2523809523809524,0.8666666666666667,0.3603174603174603
svm_ohe_f1_d0_b0_c5_v0,0.5853530728530728,0.37142857142857144,0.7,0.5412698412698412
tree_le_f1_d0_b0_c5_v0,0.36054403268688984,0.14761904761904762,0.9333333333333333,0.26031746031746034
tree_ohe_f1_d0_b0_c5_v0,0.41046444296444295,0.19047619047619047,0.9333333333333333,0.3261904761904762
