,RR,accuracy,reassignment,t3,top10,top11,top12,top13,top14,top15,top2,top3,top4,top5,top6,top7,top8,top9
nb_le_f0_d0_b1_c36_v0,0.46885605135605135,0.2857142857142857,0.9,0.3968253968253968,0.8857142857142857,0.9142857142857143,0.9380952380952381,0.9666666666666667,0.9904761904761905,1.0,0.42857142857142855,0.5476190476190477,0.6523809523809524,0.7285714285714285,0.7714285714285715,0.8095238095238095,0.8523809523809524,0.8714285714285714
nb_ohe_f0_d0_b1_c36_v0,0.6529290022147165,0.47619047619047616,0.8,0.6158730158730159,0.9714285714285714,0.9809523809523809,0.9857142857142858,0.9904761904761905,0.9952380952380953,1.0,0.6952380952380952,0.7857142857142857,0.8333333333333334,0.8809523809523809,0.919047619047619,0.9476190476190476,0.9666666666666667,0.9714285714285714
lrr_le_f0_d0_b1_c36_v0,0.502065540279826,0.30952380952380953,0.8333333333333334,0.4396825396825397,0.9,0.9285714285714286,0.9571428571428572,0.9714285714285714,0.9857142857142858,1.0,0.5095238095238095,0.6,0.7,0.7428571428571429,0.7857142857142857,0.8142857142857143,0.8380952380952381,0.8714285714285714
lrr_ohe_f0_d0_b1_c36_v0,0.6242363456649171,0.44761904761904764,0.7,0.5738095238095238,0.9666666666666667,0.9761904761904762,0.9857142857142858,0.9952380952380953,0.9952380952380953,1.0,0.6428571428571429,0.7285714285714285,0.819047619047619,0.8904761904761904,0.9095238095238095,0.9476190476190476,0.9571428571428572,0.9619047619047619
svm_le_f0_d0_b1_c36_v0,0.47032534925392067,0.2714285714285714,0.9333333333333333,0.3968253968253968,0.8952380952380953,0.9285714285714286,0.9571428571428572,0.9714285714285714,0.9904761904761905,1.0,0.44761904761904764,0.5380952380952381,0.6190476190476191,0.7142857142857143,0.780952380952381,0.8428571428571429,0.8571428571428571,0.8714285714285714
svm_ohe_f0_d0_b1_c36_v0,0.640267919910777,0.4380952380952381,0.7333333333333334,0.6007936507936508,0.9761904761904762,0.9809523809523809,0.9809523809523809,0.9904761904761905,0.9952380952380953,1.0,0.6619047619047619,0.7857142857142857,0.8666666666666667,0.9,0.919047619047619,0.9571428571428572,0.9619047619047619,0.9714285714285714
nb_m2_f0_d0_b1_c36_v0,0.5922010264867408,0.4,0.8333333333333334,0.5452380952380952,0.9714285714285714,0.9761904761904762,0.9761904761904762,0.9857142857142858,0.9952380952380953,1.0,0.6047619047619047,0.7333333333333333,0.8142857142857143,0.8666666666666667,0.8857142857142857,0.9285714285714286,0.9380952380952381,0.9619047619047619
lrr_m2_f0_d0_b1_c36_v0,0.5958214668928955,0.4095238095238095,0.8,0.5444444444444444,0.9571428571428572,0.9666666666666667,0.9666666666666667,0.9809523809523809,0.9904761904761905,1.0,0.6285714285714286,0.7047619047619048,0.7952380952380952,0.8571428571428571,0.8761904761904762,0.9,0.9238095238095239,0.9428571428571428
svm_m2_f0_d0_b1_c36_v0,0.5559392591535449,0.3523809523809524,0.9,0.5055555555555555,0.9523809523809523,0.9714285714285714,0.9809523809523809,0.9904761904761905,0.9952380952380953,1.0,0.5476190476190477,0.6857142857142857,0.7428571428571429,0.7952380952380952,0.8523809523809524,0.8857142857142857,0.9095238095238095,0.9238095238095239
nb_m3_f0_d0_b1_c36_v0,0.5578326303326303,0.35714285714285715,0.9333333333333333,0.5071428571428571,0.9428571428571428,0.9523809523809523,0.9761904761904762,0.9809523809523809,0.9857142857142858,1.0,0.5904761904761905,0.6904761904761905,0.7714285714285715,0.8142857142857143,0.8428571428571429,0.8904761904761904,0.9047619047619048,0.9238095238095239
