problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,tv_shows,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,0,0,6,0,3,6,8,5,2,6,3,9,0,2,0,1,1,1,1,0,1,0,0,1
2,0,1,2,2,2,8,7,8,1,2,6,2,2,2,2,0,1,1,0,0,1,0,1,-1
2,0,1,4,2,4,7,7,0,5,2,6,2,2,1,0,0,1,0,0,1,0,1,1,-1
2,2,1,0,2,8,7,7,2,2,6,0,13,2,2,1,1,0,0,1,0,0,0,1,1
0,2,1,0,2,10,8,0,7,2,5,1,0,0,1,1,1,0,0,0,0,0,0,0,1
2,0,2,0,1,1,7,8,0,1,6,5,5,2,1,2,1,0,0,1,0,1,0,0,1
2,0,2,0,2,9,1,3,1,1,5,0,2,0,2,2,1,0,1,1,0,1,0,0,1
2,2,2,6,1,8,6,2,0,1,3,3,1,0,2,0,1,0,0,1,0,1,0,0,1
2,0,2,0,1,8,7,0,2,2,3,5,0,2,1,0,1,0,1,1,0,1,0,0,1
0,2,1,5,2,3,9,8,7,0,4,0,8,0,0,1,0,0,0,0,0,1,0,0,-1
2,0,1,0,1,10,7,8,3,2,4,5,5,0,1,2,1,0,0,1,0,0,0,0,-1
0,0,1,4,1,9,7,7,8,3,2,6,8,2,2,1,0,0,0,0,0,0,0,1,-1
2,0,1,0,1,8,5,8,5,2,6,0,5,1,1,2,1,0,1,1,0,1,0,1,1
0,0,2,0,2,8,3,1,2,1,0,4,5,2,0,1,1,0,0,1,0,0,1,0,-1
0,2,1,2,2,8,7,8,2,1,6,4,14,0,2,2,0,1,0,0,0,1,1,1,-1
2,0,2,2,2,1,4,1,2,3,6,4,0,0,2,2,1,1,0,1,1,1,0,0,1
2,1,1,6,2,9,1,7,2,5,6,4,2,0,0,0,0,1,0,0,0,0,0,1,-1
2,0,2,0,2,9,1,8,1,2,6,6,3,2,1,2,1,0,0,1,0,0,0,0,1
0,2,1,6,1,8,10,7,4,4,2,0,2,2,2,1,0,1,0,0,0,0,0,1,-1
0,2,2,0,2,9,1,0,5,2,5,4,3,2,2,0,0,0,0,1,0,0,0,0,-1
1,0,0,4,2,8,6,7,4,5,3,1,8,2,1,1,0,0,0,0,0,0,0,1,-1
0,2,0,0,1,8,7,4,2,2,6,2,0,2,2,0,1,0,0,1,0,1,0,0,1
2,2,2,2,1,0,1,1,2,1,6,4,3,1,2,0,0,1,0,0,0,0,1,0,-1
2,2,1,4,2,10,3,6,4,6,4,1,4,2,2,2,1,0,1,1,0,0,0,0,1
2,2,1,3,2,6,3,8,7,1,4,0,1,2,2,1,0,0,1,0,0,1,0,0,-1
2,2,1,6,2,4,10,5,0,4,2,5,2,0,0,1,0,0,0,0,0,1,1,1,-1
0,2,2,0,2,3,4,2,5,2,6,6,1,0,1,2,1,0,1,1,0,0,0,0,1
0,0,1,0,1,10,1,0,5,2,6,3,14,0,1,0,1,0,0,1,0,1,0,0,1
2,2,2,2,2,9,3,1,2,1,4,4,0,0,2,1,0,1,1,0,1,1,1,0,-1
0,2,1,2,1,10,3,1,5,2,6,5,9,2,1,2,1,1,0,1,0,0,0,0,1
2,0,1,5,2,10,3,0,2,2,0,3,14,0,1,1,1,0,0,1,0,0,0,0,-1
2,2,2,0,2,8,4,4,2,2,6,5,0,2,2,2,0,0,0,1,0,1,0,0,-1
0,2,1,0,2,9,6,0,2,3,6,2,8,1,2,0,1,0,0,0,0,1,0,0,1
