problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,2,1,5,1,8,3,4,3,1,5,13,1,1,2,0,0,0,0,0,0,0,0,7
2,2,2,5,1,3,7,4,7,1,5,5,2,2,0,0,0,0,0,0,0,0,0,7
0,2,2,5,1,9,6,4,2,1,6,5,0,2,1,0,0,0,0,0,1,0,0,7
1,2,1,6,2,9,5,7,4,1,0,11,0,1,2,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,10,7,4,5,0,4,8,0,2,1,0,0,0,0,0,0,0,0,7
2,2,2,5,1,8,9,4,5,1,4,13,0,2,1,0,0,0,0,0,1,0,0,7
0,2,1,5,1,3,7,4,5,1,5,0,0,2,1,0,0,0,0,0,1,0,0,7
2,0,1,2,2,8,1,1,2,3,6,13,2,2,1,0,0,0,0,0,0,0,0,-1
0,2,1,6,1,8,10,7,4,4,2,2,2,2,1,0,0,0,0,0,0,0,0,-1
2,0,1,5,2,3,5,8,5,1,6,0,0,2,2,0,0,0,0,0,0,0,0,7
2,0,1,5,2,10,3,4,8,2,6,5,2,1,2,0,0,0,0,0,0,0,0,7
1,2,1,2,2,9,7,5,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,-1
2,0,1,4,2,4,7,7,0,5,2,2,2,1,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,8,5,8,1,1,3,5,0,2,2,0,0,0,0,0,0,0,0,7
2,0,1,2,2,9,1,1,3,2,5,10,2,2,2,0,0,0,0,0,0,0,0,-1
2,2,1,4,1,9,7,7,0,4,3,2,2,2,1,0,0,0,0,0,0,0,1,-1
2,2,1,5,2,9,6,0,8,1,4,5,2,2,0,0,0,0,0,0,1,0,0,7
2,2,2,2,2,8,6,1,3,1,6,11,0,2,1,0,0,0,0,0,0,0,0,-1
2,0,2,5,2,9,5,8,2,1,4,0,2,2,2,0,0,0,0,0,1,0,0,7
2,0,2,3,1,9,5,8,2,1,4,0,0,0,2,0,0,0,0,0,1,0,0,7
2,0,1,6,2,4,1,1,0,5,6,13,2,2,0,0,0,0,0,0,0,0,0,-1
2,0,0,3,2,6,9,3,4,6,5,1,2,2,1,0,0,1,0,0,0,0,0,-1
2,0,2,0,2,8,6,8,0,1,3,5,2,2,2,0,0,0,0,0,0,0,0,7
0,2,2,5,1,7,8,4,1,0,3,0,2,2,1,0,0,0,0,0,1,0,0,7
1,0,2,5,2,6,7,4,0,1,6,0,2,2,1,0,0,0,0,0,0,0,0,7
2,2,1,6,2,3,9,3,2,3,5,8,1,2,2,0,0,0,0,1,0,0,0,-1
0,0,2,2,2,9,1,7,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,8,7,8,0,2,6,5,1,0,1,0,0,0,0,0,1,0,0,7
0,1,2,5,1,8,7,4,0,1,5,11,0,0,0,0,0,0,0,0,0,0,0,7
2,2,2,5,1,7,1,0,8,1,6,12,1,2,2,0,0,0,0,0,0,0,0,7
0,2,1,2,1,8,3,1,5,1,0,3,2,1,1,0,0,0,0,0,0,0,0,-1
2,2,1,3,2,4,8,7,3,4,3,2,0,2,1,0,0,0,0,0,0,0,0,-1
0,0,0,5,2,10,5,0,5,1,5,14,0,1,2,0,0,0,0,0,0,0,0,7
0,0,2,0,2,8,3,1,2,1,0,5,2,0,1,0,0,0,0,0,0,0,0,-1
0,2,2,5,1,8,9,4,5,1,6,12,2,0,1,0,0,0,0,0,0,0,0,7
2,2,1,0,2,8,5,4,8,0,3,2,2,2,2,0,0,0,0,0,0,0,0,-1
0,2,1,5,1,8,3,0,5,2,5,6,2,1,2,0,0,0,1,0,0,0,0,-1
2,0,1,4,2,3,0,8,2,4,6,2,0,1,1,0,0,0,0,0,0,0,0,-1
0,2,1,5,2,8,1,8,3,1,6,3,2,1,0,0,0,0,0,0,0,0,0,7
0,2,0,4,2,7,1,7,0,6,2,13,2,2,2,0,0,0,0,0,0,0,0,-1
2,2,2,6,2,4,7,7,0,6,4,2,2,0,0,0,0,0,0,0,0,0,0,-1
2,2,1,0,2,9,1,7,2,2,6,5,2,2,0,0,0,0,1,0,0,0,0,-1
2,0,2,2,1,1,6,1,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,-1
2,2,1,0,1,9,5,1,0,1,3,8,0,2,0,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,3,10,4,8,1,3,2,2,0,1,0,0,0,0,0,1,0,0,7
2,2,1,5,2,9,7,4,0,0,5,4,0,2,1,0,0,0,0,0,1,0,0,-1
2,2,2,5,2,3,2,4,1,1,2,11,0,2,0,0,0,0,0,0,0,0,0,7
2,2,0,6,2,8,6,1,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,-1
2,0,1,3,2,8,6,5,0,3,2,13,0,2,1,0,0,0,0,0,0,0,0,-1
0,2,1,4,1,4,3,5,8,6,3,2,2,2,0,0,0,0,0,0,0,0,0,-1
2,2,2,6,2,9,7,7,0,3,6,0,2,2,1,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,8,1,4,7,0,3,5,2,2,0,0,0,0,0,0,0,0,0,7
2,0,1,3,2,10,3,4,1,3,0,13,2,2,2,0,0,0,0,0,0,0,0,7
0,2,2,5,2,5,3,1,5,0,5,5,2,2,1,0,0,0,0,0,0,0,0,7
2,0,1,4,2,4,7,7,4,4,2,2,2,0,0,0,0,0,0,0,0,0,1,-1
0,0,2,4,1,9,3,7,1,0,2,2,2,1,2,0,0,0,0,0,0,0,0,-1
0,2,1,3,1,1,9,7,0,5,6,0,2,0,0,0,0,0,0,0,0,0,0,-1
0,1,2,5,1,1,4,8,5,2,5,8,0,2,0,0,0,0,0,0,0,0,0,7
2,0,2,2,1,0,7,1,5,1,4,0,0,2,2,0,0,0,0,0,0,0,0,-1
1,2,2,3,2,8,9,7,5,3,2,3,0,2,2,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,8,6,4,2,4,6,7,2,2,1,0,0,0,0,0,0,0,0,-1
2,2,1,1,2,3,2,8,5,1,5,0,0,2,1,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,10,2,0,3,2,6,2,0,1,0,0,0,0,0,0,0,0,0,7
2,2,2,0,1,8,3,1,0,2,3,1,2,0,2,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,10,7,4,5,0,4,8,0,2,1,0,0,0,0,0,0,0,0,7
0,2,2,5,1,8,9,4,5,1,6,12,2,0,1,0,0,0,0,0,0,0,0,7
2,2,1,5,1,1,8,4,5,0,6,5,0,2,1,0,0,0,0,0,0,0,0,7
0,2,2,5,2,9,1,4,2,1,6,5,0,2,0,0,0,0,0,0,0,0,0,-1
0,1,1,6,1,10,9,0,3,4,5,14,0,2,0,0,0,0,0,0,0,0,0,-1
2,0,1,4,1,4,6,5,8,5,3,2,2,0,1,0,0,0,0,0,0,0,0,-1
0,2,1,0,2,1,8,7,2,2,5,7,0,2,0,0,0,0,0,0,1,0,0,7
2,2,1,5,2,8,6,4,2,0,6,10,0,0,1,0,0,0,0,0,1,0,0,7
2,2,1,5,1,8,10,1,0,1,4,0,0,0,2,0,0,0,0,0,0,0,0,7
0,2,1,5,2,9,6,4,1,1,6,9,2,2,1,0,0,0,0,0,0,0,0,7
