problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,tv_shows,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,2,0,3,2,8,10,2,0,6,5,6,11,2,0,0,0,0,0,0,0,0,0,0,-1
2,0,2,2,2,7,3,7,2,2,0,1,8,1,0,2,0,0,0,0,0,0,0,0,-1
0,0,1,0,2,5,1,4,5,2,5,2,7,0,1,0,0,0,0,0,0,0,0,0,8
2,0,2,5,2,8,10,8,5,2,5,3,7,2,0,2,0,0,0,0,0,1,0,0,8
2,0,2,5,2,10,1,0,8,0,3,5,14,2,1,1,0,0,0,0,0,0,0,0,8
0,2,1,3,1,8,5,0,1,6,1,4,11,1,2,0,0,0,0,0,0,0,0,0,-1
1,0,2,0,2,9,6,3,0,1,3,6,1,2,2,2,0,0,0,0,0,0,0,0,8
2,0,2,5,2,5,6,4,8,1,6,5,7,2,2,0,0,0,0,0,0,0,0,0,8
0,2,1,6,2,9,7,7,0,4,2,4,2,0,2,0,0,0,0,0,0,0,0,0,-1
2,0,2,5,2,9,1,1,8,2,3,4,13,2,2,2,0,0,0,0,0,0,0,0,8
2,0,1,3,1,4,6,7,2,5,2,5,2,2,2,1,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,9,1,8,5,2,6,6,5,2,2,0,0,0,0,0,0,1,0,0,8
2,0,2,5,2,10,4,0,5,1,6,5,14,2,2,2,0,0,0,1,0,0,0,0,8
2,2,0,1,1,1,8,7,2,1,6,5,0,0,2,2,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,8,7,3,8,1,3,1,6,0,0,2,0,0,0,0,0,0,0,0,8
0,1,1,0,1,8,10,1,0,4,3,4,1,2,0,1,0,0,0,0,0,0,0,0,8
2,2,1,3,2,9,7,7,2,6,5,5,13,0,0,1,0,0,0,0,0,0,1,0,-1
2,2,0,6,1,1,6,0,8,1,6,4,0,0,2,2,0,0,0,0,0,0,0,0,-1
0,1,0,2,2,4,7,7,0,4,2,4,2,2,2,2,0,0,1,0,0,0,0,0,-1
0,2,2,5,2,10,1,0,2,2,6,1,3,2,2,0,0,0,0,0,0,0,0,0,-1
2,0,1,2,2,9,1,1,3,2,5,4,10,2,2,2,0,0,0,0,0,0,0,0,-1
1,2,1,6,2,8,6,1,3,1,2,5,2,2,2,2,0,0,0,0,0,0,0,1,-1
0,2,1,3,1,8,5,7,1,6,0,4,2,0,0,1,0,0,0,0,0,0,0,1,-1
2,2,2,5,2,9,7,4,0,1,6,5,0,2,0,0,0,0,0,0,0,0,0,0,8
2,2,1,5,2,8,6,4,2,4,6,5,7,2,2,1,0,0,0,0,0,0,0,0,8
1,2,2,5,2,8,0,8,0,6,3,4,11,0,0,0,0,0,0,0,0,0,0,0,8
