problem_type,creative,outdoors,career,group_work,liked_courses,disliked_courses,join_clubs,not_clubs,liked_projects,disliked_projects,tv_shows,alternate_degree,expensive_equipment,drawing,essay,architecture,automotive,business,construction,health,environment,manufacturing,technology,program
2,0,1,1,1,3,6,7,2,6,0,2,8,2,1,1,0,0,0,0,0,0,0,0,-1
2,0,2,2,1,4,6,7,2,3,6,4,0,2,1,1,0,0,0,0,0,0,0,0,-1
0,1,1,3,1,8,1,8,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,1,5,2,8,7,0,7,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,7
2,2,1,5,2,9,3,1,0,0,5,5,1,2,2,2,0,0,0,0,0,0,0,0,-1
0,1,2,5,2,8,6,4,8,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,7
1,2,1,4,1,4,5,0,8,3,0,4,2,0,1,0,0,0,0,0,0,0,0,1,-1
2,2,2,5,2,5,10,4,0,1,4,0,11,0,0,1,0,0,0,0,0,1,0,0,7
2,0,1,3,2,8,4,8,1,2,1,5,12,0,2,1,0,0,0,0,0,0,0,0,-1
0,1,2,5,2,8,6,4,8,1,5,5,1,0,0,0,0,0,0,0,0,0,0,0,7
2,2,2,5,1,8,1,4,7,0,3,0,5,2,2,0,0,0,0,0,0,0,0,0,7
0,2,2,5,1,8,9,4,5,1,6,6,12,2,0,1,0,0,0,0,0,0,0,0,7
2,2,1,5,1,1,8,4,5,0,6,4,5,0,2,1,0,0,0,0,0,0,0,0,7
2,0,1,0,1,9,1,0,5,2,4,3,14,0,1,0,0,0,0,0,0,0,0,0,-1
0,0,1,1,1,3,5,0,5,3,6,0,8,0,2,1,0,0,0,0,1,0,0,0,-1
2,0,1,6,2,1,6,7,3,3,6,6,3,0,1,0,0,0,0,0,0,0,0,0,-1
2,2,2,5,1,1,7,4,2,1,5,2,0,0,2,1,0,0,0,0,0,1,0,0,7
0,2,0,3,1,8,4,3,0,6,2,0,4,0,2,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,10,7,4,5,0,4,2,8,0,2,1,0,0,0,0,0,0,0,0,7
0,0,0,5,2,10,5,0,5,1,5,1,14,0,1,2,0,0,0,0,0,0,0,0,7
1,0,1,0,2,9,1,7,0,1,6,2,0,2,2,1,0,0,0,0,0,0,0,0,-1
0,2,1,5,1,3,7,4,5,1,5,3,0,0,2,1,0,0,0,0,0,1,0,0,7
0,2,2,5,1,9,6,4,2,1,6,1,5,0,2,1,0,0,0,0,0,1,0,0,7
0,2,2,5,1,8,5,4,8,3,5,0,8,2,0,2,0,0,0,0,0,0,0,0,7
2,2,1,3,1,9,0,4,5,2,5,5,5,0,2,1,0,0,0,0,0,0,0,0,7
2,0,2,0,2,8,6,8,5,2,4,4,1,2,2,2,0,0,0,0,0,0,0,0,-1
0,2,1,5,1,8,7,4,5,1,5,0,0,0,2,0,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,1,9,8,1,0,3,5,5,0,2,2,0,0,0,0,0,0,0,0,7
2,2,2,6,2,9,7,5,3,1,3,4,2,2,2,1,0,0,0,0,0,0,0,1,-1
2,2,1,5,2,6,7,4,5,0,6,2,8,0,2,2,0,0,0,0,0,0,0,0,7
2,0,2,5,2,3,7,4,3,1,5,5,5,0,0,1,0,0,0,0,0,1,0,0,7
1,0,2,5,2,6,7,4,0,1,6,4,0,2,2,1,0,0,0,0,0,0,0,0,7
2,2,2,1,1,8,7,7,0,1,4,1,11,2,0,1,0,0,0,0,1,0,0,0,-1
2,2,1,2,1,9,6,8,2,1,5,4,0,2,0,0,0,0,0,0,0,0,0,0,-1
0,2,1,5,1,8,1,3,4,1,3,0,1,2,2,0,0,0,0,0,0,0,0,0,-1
0,2,1,5,2,3,2,4,2,1,6,5,0,2,2,0,0,0,0,0,0,1,0,0,7
2,2,1,5,2,1,9,8,1,0,3,5,5,0,2,2,0,0,0,0,0,0,0,0,7
2,0,1,4,2,8,6,0,2,4,0,2,8,0,1,1,0,0,0,0,0,0,0,0,-1
2,2,1,2,1,9,5,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,-1
1,0,2,0,2,9,6,3,0,1,3,6,1,2,2,2,0,0,0,0,0,0,0,0,-1
2,0,2,3,1,9,5,8,2,1,4,5,0,0,0,2,0,0,0,0,0,1,0,0,7
2,0,2,5,2,9,5,8,2,1,4,5,0,2,2,2,0,0,0,0,0,1,0,0,7
2,0,1,3,2,10,3,4,1,3,0,5,13,2,2,2,0,0,0,0,0,0,0,0,7
0,2,1,6,1,8,1,7,0,4,2,1,11,2,2,2,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,8,6,4,2,4,6,5,7,2,2,1,0,0,0,0,0,0,0,0,-1
2,2,1,5,2,9,7,4,0,0,5,0,4,0,2,1,0,0,0,0,0,1,0,0,-1
2,0,1,3,2,8,3,4,5,2,6,5,12,0,2,2,0,0,0,0,0,0,0,0,7
2,2,1,5,1,8,3,4,3,1,5,2,13,1,1,2,0,0,0,0,0,0,0,0,7
0,1,2,5,1,1,4,8,5,2,5,5,8,0,2,0,0,0,0,0,0,0,0,0,7
2,2,1,5,2,8,5,8,1,1,3,3,5,0,2,2,0,0,0,0,0,0,0,0,7
2,2,0,6,1,8,7,7,0,4,1,6,2,1,2,0,0,0,0,0,0,0,0,1,-1
0,2,1,2,1,8,3,1,5,1,0,4,3,2,1,1,0,0,0,0,0,0,0,0,-1
0,1,1,1,2,9,7,4,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,-1
0,2,2,5,2,5,3,1,5,0,5,5,5,2,2,1,0,0,0,0,0,0,0,0,7
2,2,1,0,2,8,7,1,5,1,5,4,0,2,2,1,0,0,0,0,0,0,0,0,-1
0,0,1,5,2,8,7,0,7,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,7
0,2,1,5,2,4,7,5,0,5,2,0,2,0,2,2,0,0,0,0,0,0,0,0,-1
2,2,2,4,1,4,7,5,4,5,2,0,2,2,2,0,0,0,0,0,0,0,0,0,-1
2,2,2,5,2,3,1,4,3,1,2,0,5,0,2,1,0,0,0,0,0,0,0,0,7
0,2,0,4,2,9,7,1,3,4,2,1,2,2,0,1,0,0,0,0,0,0,0,1,-1
2,2,2,5,2,9,7,8,2,1,5,2,5,2,0,1,0,0,0,0,0,1,0,0,7
2,0,1,6,2,4,7,7,0,4,6,1,2,0,0,0,0,0,0,0,0,0,0,1,-1
2,2,1,5,1,8,10,1,0,1,4,4,0,0,0,2,0,0,0,0,0,0,0,0,7
2,2,2,6,2,9,7,7,0,3,6,4,0,2,2,1,0,0,0,0,0,0,0,0,-1
0,2,1,0,1,10,9,0,3,2,6,5,6,0,2,1,0,0,0,0,0,0,0,0,-1
2,2,1,1,1,3,7,7,0,1,6,0,0,2,0,1,0,0,0,0,0,0,0,0,-1
2,1,1,4,1,4,3,7,0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,-1
2,0,2,0,2,8,6,8,0,1,3,0,5,2,2,2,0,0,0,0,0,0,0,0,7
2,0,2,0,2,8,6,8,0,1,3,0,5,2,2,2,0,0,0,0,0,0,0,0,7
2,0,1,5,2,10,3,4,8,2,6,0,5,2,1,2,0,0,0,0,0,0,0,0,7
2,2,2,2,1,8,7,4,0,1,4,5,11,2,0,0,0,0,0,0,0,0,0,0,7
2,0,0,4,1,7,5,0,2,3,0,5,14,0,1,1,0,0,0,0,0,0,0,1,-1
2,2,1,5,1,8,10,1,0,1,4,4,0,0,0,2,0,0,0,0,0,0,0,0,7
2,2,2,5,1,3,7,4,7,1,5,2,5,2,2,0,0,0,0,0,0,0,0,0,7
2,0,2,5,1,3,4,0,5,1,4,5,9,0,2,0,0,0,0,0,0,0,0,0,7
0,2,1,6,2,8,7,1,3,5,2,4,11,2,2,0,0,0,0,0,0,0,0,0,-1
1,2,1,3,2,4,3,5,0,6,3,2,2,0,0,2,0,0,0,0,0,0,0,0,-1
0,2,1,5,2,8,1,8,3,1,6,3,3,2,1,0,0,0,0,0,0,0,0,0,7
