outdoors,career,programming,join_clubs,not_clubs,liked_projects,disliked_projects,alternate_degree,program
1,2,3,7,0,4,3,0,-1
1,5,3,7,0,0,2,5,11
1,6,0,7,8,1,2,2,11
1,1,2,8,5,1,5,0,11
2,6,0,7,2,5,3,5,-1
2,1,1,8,0,0,6,0,-1
1,6,0,7,0,1,2,2,-1
0,6,3,7,0,1,2,0,11
1,6,3,8,5,0,6,13,11
1,6,0,2,0,4,3,2,11
1,1,1,4,0,0,2,0,11
1,3,0,5,0,6,3,2,-1
0,5,3,7,0,1,3,6,11
1,5,3,1,5,0,6,0,11
1,5,0,1,2,3,2,8,11
1,1,0,7,0,1,6,0,11
1,1,0,7,8,0,6,2,11
0,4,0,7,3,1,0,2,-1
1,6,0,7,2,4,1,0,-1
0,4,0,7,0,4,2,2,-1
2,5,1,4,2,6,0,0,-1
2,5,3,8,0,2,5,0,-1
0,5,0,0,1,5,2,0,11
1,3,3,2,8,6,1,4,-1
1,2,3,8,2,3,6,11,-1
2,0,1,0,2,1,5,10,-1
1,5,3,4,2,3,6,0,11
1,1,1,7,3,3,6,0,11
1,1,3,7,0,5,2,11,11
